City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Yellowknife,CA,55.92,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
4,Cherskiy,RU,53.65,broken clouds,68.75,161.3,Gostinitsa
5,College,US,54.28,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
13,Severo-Kurilsk,RU,59.58,scattered clouds,50.6789,156.125,Kak Doma
34,Cape Town,ZA,56.1,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
35,Gisborne,NZ,50.2,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
43,Grindavik,IS,55.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
47,Cidreira,BR,54.55,overcast clouds,-30.1811,-50.2056,Hotel Castelo
56,Villazon,BO,55.2,overcast clouds,-22.0866,-65.5942,La Candelaria
58,Hobart,AU,50.05,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
72,Namtsy,RU,52.32,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
75,Bredasdorp,ZA,52.92,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
76,Hermanus,ZA,53.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
84,Klyuchi,RU,56.97,clear sky,52.2667,79.1667,Vesolaya Mayovka
90,Tolaga Bay,NZ,50.67,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
92,Mar Del Plata,AR,51.94,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
93,Kyzyl-Suu,KG,55.49,few clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
100,Comodoro Rivadavia,AR,58.86,clear sky,-45.8667,-67.5,Austral Hotel
106,Marolambo,MG,58.75,broken clouds,-20.05,48.1167,local guide suport centre
113,Fairbanks,US,54.3,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
121,Campana,AR,59.23,clear sky,-34.1687,-58.9591,Hotel Morada Suites
122,Erenhot,CN,53.71,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
125,Hofn,IS,51.85,overcast clouds,64.2539,-15.2082,Hótel Höfn
136,Jining,CN,58.96,light rain,35.405,116.5814,Yunhe Star Hotel
137,Port Elizabeth,ZA,59.09,few clouds,-33.918,25.5701,39 On Nile Guest House
139,Atbasar,KZ,59.97,clear sky,51.8,68.3333,Гостиничный Комплекс Saad
151,Havoysund,NO,50.23,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
154,Petropavlovsk-Kamchatskiy,RU,54.19,fog,53.0452,158.6483,The Hotel Petropavlovsky
175,Ballina,AU,56.01,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
185,Kruisfontein,ZA,56.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
187,Tacuarembo,UY,51.21,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
191,Lebu,CL,55.67,clear sky,-37.6167,-73.65,Hostal Las Lilas
205,Esso,RU,57.52,light rain,55.9333,158.7,Paramushir Tur
213,Sergeyevka,KZ,59.18,clear sky,53.88,67.4158,Amina
228,Klaksvik,FO,50.92,few clouds,62.2266,-6.589,Airbnb rooms
234,Kodiak,US,53.11,light rain,57.79,-152.4072,Best Western Kodiak Inn
245,Nuuk,GL,52.41,scattered clouds,64.1835,-51.7216,Vandrehuset
253,Kokkola,FI,58.93,clear sky,63.8385,23.1307,Hotel Kokkola
255,Sitka,US,57.09,overcast clouds,57.0531,-135.33,Westmark Sitka
