City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,75.09,55,68,3.87,broken clouds
1,Fortuna,US,40.5982,-124.1573,61.66,94,0,5.75,clear sky
2,Yellowknife,CA,62.456,-114.3525,55.92,94,100,11.5,light intensity shower rain
3,Ushuaia,AR,-54.8,-68.3,44.26,65,40,9.22,scattered clouds
4,Cherskiy,RU,68.75,161.3,53.65,67,72,8.61,broken clouds
5,College,US,64.8569,-147.8028,54.28,92,75,0.0,broken clouds
6,Bluff,NZ,-46.6,168.3333,41.13,87,6,5.5,clear sky
7,Albany,US,42.6001,-73.9662,81.63,69,9,1.99,clear sky
8,Castro,BR,-24.7911,-50.0119,78.46,35,42,3.94,scattered clouds
9,Banswara,IN,23.55,74.45,76.77,80,98,1.97,overcast clouds
10,Dawlatabad,AF,36.4141,64.9053,77.81,14,0,3.09,clear sky
11,Tezu,IN,27.9167,96.1667,76.14,97,100,1.39,overcast clouds
12,Lingao,CN,19.9103,109.6859,80.24,86,74,5.82,broken clouds
13,Severo-Kurilsk,RU,50.6789,156.125,59.58,94,47,19.71,scattered clouds
14,Ponferrada,ES,42.5466,-6.5962,91.81,33,41,3.0,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,72.18,76,100,25.52,light rain
16,Port-Gentil,GA,-0.7193,8.7815,76.96,78,20,8.05,few clouds
17,Qaanaaq,GL,77.484,-69.3632,35.98,59,62,2.75,broken clouds
18,Airai,TL,-8.9266,125.4092,55.69,82,44,2.89,scattered clouds
19,Avarua,CK,-21.2078,-159.775,71.65,88,18,5.75,few clouds
20,Kutum,SD,14.2,24.6667,76.05,52,93,16.73,overcast clouds
21,Kapaa,US,22.0752,-159.319,77.32,82,20,16.11,few clouds
22,Samarai,PG,-10.6167,150.6667,79.39,83,72,17.4,broken clouds
23,Baiyin,CN,36.5583,104.2081,60.48,55,100,1.74,overcast clouds
24,Saryg-Sep,RU,51.5,95.6,39.78,91,33,2.51,scattered clouds
25,Bethel,US,41.3712,-73.414,82.58,66,100,5.75,overcast clouds
26,Adrar,MR,20.5022,-10.0711,104.07,16,6,9.57,clear sky
27,Khatanga,RU,71.9667,102.5,33.78,79,39,5.46,scattered clouds
28,Tabou,CI,4.423,-7.3528,76.01,87,98,9.06,light rain
29,Chokurdakh,RU,70.6333,147.9167,44.83,79,90,6.69,overcast clouds
30,Narsaq,GL,60.9167,-46.05,46.62,78,100,2.98,light rain
31,San Patricio,US,28.017,-97.5169,91.9,53,12,10.25,few clouds
32,Kaitangata,NZ,-46.2817,169.8464,37.99,94,11,3.33,few clouds
33,Vaini,TO,-21.2,-175.2,69.96,94,20,5.75,few clouds
34,Cape Town,ZA,-33.9258,18.4232,56.1,61,20,5.75,few clouds
35,Gisborne,NZ,-38.6533,178.0042,50.2,68,100,13.33,overcast clouds
36,Alta Floresta,BR,-9.8756,-56.0861,100.22,27,40,8.05,smoke
37,Tak,TH,16.5833,98.8333,72.79,96,64,1.48,broken clouds
38,Tasiilaq,GL,65.6145,-37.6368,44.76,96,100,18.28,moderate rain
39,Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,24.16,broken clouds
40,Broome,US,42.2506,-75.833,86.09,63,20,5.75,few clouds
41,Kailua,US,21.4022,-157.7394,79.14,75,21,7.0,few clouds
42,Baruun-Urt,MN,46.6806,113.2792,47.66,78,68,2.44,broken clouds
43,Grindavik,IS,63.8424,-22.4338,55.35,93,75,17.27,broken clouds
44,Atuona,PF,-9.8,-139.0333,77.2,71,18,24.2,few clouds
45,Asheboro,US,35.7079,-79.8136,90.01,60,75,4.61,broken clouds
46,Carnarvon,AU,-24.8667,113.6333,61.88,53,0,19.73,clear sky
47,Cidreira,BR,-30.1811,-50.2056,54.55,56,100,17.92,overcast clouds
48,Yeghegnavan,AM,39.838,44.6253,86.4,23,3,6.76,clear sky
49,Gigmoto,PH,13.7796,124.39,80.89,85,83,5.55,broken clouds
50,Kulhudhuffushi,MV,6.6221,73.07,80.64,82,65,19.53,broken clouds
51,Inuvik,CA,68.3499,-133.7218,45.61,96,75,9.22,mist
52,Sur,OM,22.5667,59.5289,84.81,61,11,11.14,few clouds
53,East London,ZA,-33.0153,27.9116,61.74,88,0,5.75,clear sky
54,Butaritari,KI,3.0707,172.7902,80.53,80,42,15.77,light rain
55,Busselton,AU,-33.65,115.3333,49.71,70,96,5.37,overcast clouds
56,Villazon,BO,-22.0866,-65.5942,55.2,39,100,17.02,overcast clouds
57,Domoni,KM,-12.2569,44.5319,73.99,74,2,4.5,clear sky
58,Hobart,AU,-42.8794,147.3294,50.05,89,100,3.0,overcast clouds
59,Korla,CN,41.7597,86.1469,73.45,32,43,4.25,scattered clouds
60,Mataura,NZ,-46.1927,168.8643,35.04,98,11,2.37,few clouds
61,Komsomolskoye,RU,55.2567,47.5461,72.72,43,96,6.91,overcast clouds
62,Saint-Augustin,CA,51.226,-58.6502,74.55,41,65,22.48,broken clouds
63,Tazovskiy,RU,67.4667,78.7,36.97,84,82,14.85,broken clouds
64,Den Helder,NL,52.9599,4.7593,66.96,74,75,10.36,broken clouds
65,Kafanchan,NG,9.5833,8.3,66.11,97,100,3.09,overcast clouds
66,Hithadhoo,MV,-0.6,73.0833,82.31,74,78,13.78,broken clouds
67,Akyab,MM,20.15,92.9,80.62,84,21,2.33,few clouds
68,Constitucion,CL,-35.3333,-72.4167,62.28,48,0,8.61,clear sky
69,Lawrenceburg,US,38.0373,-84.8966,93.69,62,0,5.99,clear sky
70,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,73,4,18.48,clear sky
71,Zyryanka,RU,65.75,150.85,54.73,69,99,9.17,overcast clouds
72,Namtsy,RU,62.7161,129.6658,52.32,72,88,4.05,overcast clouds
73,Ventspils,LV,57.3894,21.5606,73.33,83,0,0.0,clear sky
74,Kolobrzeg,PL,54.1757,15.5834,71.15,73,38,9.28,scattered clouds
75,Bredasdorp,ZA,-34.5322,20.0403,52.92,62,15,5.75,few clouds
76,Hermanus,ZA,-34.4187,19.2345,53.8,71,10,9.33,clear sky
77,Bontang,ID,0.1333,117.5,75.97,91,45,5.73,scattered clouds
78,Hasaki,JP,35.7333,140.8333,68.4,76,95,16.71,overcast clouds
79,Honiara,SB,-9.4333,159.95,75.52,88,29,6.44,scattered clouds
80,Iracoubo,GF,5.4802,-53.2011,84.61,69,85,10.78,overcast clouds
81,Surt,LY,31.2089,16.5887,81.72,69,0,11.1,clear sky
82,Cap Malheureux,MU,-19.9842,57.6142,72.46,77,16,5.01,few clouds
83,Barao De Melgaco,BR,-16.1944,-55.9675,101.53,16,51,10.56,broken clouds
84,Klyuchi,RU,52.2667,79.1667,56.97,50,7,4.05,clear sky
85,Lompoc,US,34.6391,-120.4579,64.54,94,100,0.0,overcast clouds
86,Nanortalik,GL,60.1432,-45.2371,40.46,93,100,4.47,light rain
87,Arcachon,FR,44.5875,-1.0519,93.25,22,75,11.5,broken clouds
88,Turkmenabat,TM,39.0733,63.5786,80.58,18,0,2.3,clear sky
89,Houston,US,29.7633,-95.3633,94.41,64,75,11.5,broken clouds
90,Tolaga Bay,NZ,-38.3667,178.3,50.67,66,98,14.45,overcast clouds
91,Toamasina,MG,-18.1667,49.3833,71.6,83,75,4.61,broken clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,51.94,57,75,13.0,broken clouds
93,Kyzyl-Suu,KG,42.3414,78.0056,55.49,45,11,3.96,few clouds
94,Sochaczew,PL,52.2294,20.2384,80.2,81,87,7.74,heavy intensity rain
95,Mao,ES,39.8885,4.2658,82.96,57,20,8.05,few clouds
96,Daru,PG,-9.0763,143.2092,77.76,91,40,13.11,scattered clouds
97,Tabuk,PH,17.4189,121.4443,73.8,92,100,3.62,overcast clouds
98,Nyagan,RU,62.1406,65.3936,62.35,87,13,8.63,light rain
99,Athabasca,CA,54.7169,-113.2854,63.01,41,56,15.39,broken clouds
100,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,25,0,12.66,clear sky
101,Port Alfred,ZA,-33.5906,26.891,61.74,75,4,7.47,clear sky
102,Rio Gallegos,AR,-51.6226,-69.2181,44.65,61,0,9.22,clear sky
103,Acajutla,SV,13.5928,-89.8275,83.5,74,100,4.81,overcast clouds
104,Pisco,PE,-13.7,-76.2167,63.01,88,100,5.75,mist
105,Diu,IN,20.7141,70.9822,78.69,76,100,7.18,overcast clouds
106,Marolambo,MG,-20.05,48.1167,58.75,98,77,1.45,broken clouds
107,Longyearbyen,SJ,78.2186,15.6401,40.84,65,40,10.36,scattered clouds
108,Napa,US,38.4832,-122.3344,81.37,30,2,4.03,clear sky
109,Bengkulu,ID,-3.8004,102.2655,74.68,90,100,4.43,overcast clouds
110,Warkworth,NZ,-36.4,174.6667,44.53,75,46,10.94,scattered clouds
111,Hilo,US,19.7297,-155.09,79.29,80,75,5.75,broken clouds
112,Provideniya,RU,64.3833,-173.3,44.74,75,35,2.77,scattered clouds
113,Fairbanks,US,64.8378,-147.7164,54.3,92,100,0.0,overcast clouds
114,Primero De Enero,CU,21.9469,-78.4283,91.24,54,98,9.04,overcast clouds
115,Talnakh,RU,69.4865,88.3972,34.21,79,93,7.83,overcast clouds
116,Mogadishu,SO,2.0371,45.3438,75.99,82,9,15.93,clear sky
117,Tiksi,RU,71.6872,128.8694,40.37,80,25,1.81,scattered clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,91.62,74,69,3.0,broken clouds
119,Arman,RU,59.7,150.1667,53.02,88,100,6.87,overcast clouds
120,Manicore,BR,-5.8092,-61.3003,89.55,58,75,4.61,broken clouds
121,Campana,AR,-34.1687,-58.9591,59.23,37,0,7.9,clear sky
122,Erenhot,CN,43.6475,111.9767,53.71,80,20,6.93,few clouds
123,Pahrump,US,36.2083,-115.9839,93.94,24,0,5.01,clear sky
124,Stettler,CA,52.3168,-112.7186,64.74,52,33,19.57,scattered clouds
125,Hofn,IS,64.2539,-15.2082,51.85,77,100,3.62,overcast clouds
126,Tahta,EG,26.7693,31.5021,97.23,21,0,9.31,clear sky
127,Vardo,NO,70.3705,31.1107,49.98,87,75,12.66,broken clouds
128,New Norfolk,AU,-42.7826,147.0587,49.71,68,100,2.66,overcast clouds
129,Saskylakh,RU,71.9167,114.0833,40.05,73,100,7.31,overcast clouds
130,Chicama,PE,-7.8447,-79.1469,61.34,57,36,10.16,scattered clouds
131,Letlhakane,BW,-21.4167,25.5833,71.33,23,0,1.5,clear sky
132,Mikropolis,GR,41.1935,23.8157,78.3,55,33,2.13,scattered clouds
133,Bilma,NE,18.6853,12.9164,94.8,28,75,1.12,broken clouds
134,Dangriga,BZ,16.9692,-88.2321,84.79,74,73,9.33,broken clouds
135,Victoria,HK,22.2855,114.1577,86.38,87,100,8.01,overcast clouds
136,Jining,CN,35.405,116.5814,58.96,98,100,7.27,light rain
137,Port Elizabeth,ZA,-33.918,25.5701,59.09,84,20,11.5,few clouds
138,Tsiroanomandidy,MG,-18.7667,46.0333,65.82,39,11,3.49,few clouds
139,Atbasar,KZ,51.8,68.3333,59.97,39,0,6.24,clear sky
140,Colares,PT,38.7992,-9.4469,76.19,68,0,11.99,clear sky
141,Touros,BR,-5.1989,-35.4608,81.45,66,36,17.56,scattered clouds
142,Barrow,US,71.2906,-156.7887,39.22,93,100,4.61,overcast clouds
143,Lebedinyy,RU,58.5167,125.5167,46.45,76,40,9.17,scattered clouds
144,Lavrentiya,RU,65.5833,-171.0,40.41,79,26,0.2,scattered clouds
145,San Quintin,MX,30.4833,-115.95,72.82,71,82,10.89,broken clouds
146,Ponta Delgada,PT,37.7333,-25.6667,75.92,64,20,13.8,few clouds
147,San Cristobal,VE,7.7669,-72.225,82.58,46,44,7.94,scattered clouds
148,Edson,CA,53.5835,-116.4356,60.94,51,0,6.91,clear sky
149,Zhigansk,RU,66.7697,123.3711,46.62,78,91,14.43,overcast clouds
150,Kahului,US,20.8947,-156.47,78.84,69,20,9.22,few clouds
151,Havoysund,NO,70.9963,24.6622,50.23,90,98,6.26,overcast clouds
152,Ames,US,42.0347,-93.6199,81.21,72,0,19.57,clear sky
153,Rocha,UY,-34.4833,-54.3333,49.53,53,81,15.37,broken clouds
154,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,100,100,4.47,fog
155,Luderitz,NA,-26.6481,15.1594,58.78,61,0,25.3,clear sky
156,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,97,8.01,overcast clouds
157,Huarmey,PE,-10.0681,-78.1522,68.2,69,25,11.9,scattered clouds
158,Turukhansk,RU,65.8167,87.9833,31.48,89,86,5.35,overcast clouds
159,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.4,75,45,10.67,scattered clouds
160,Gazojak,TM,41.1875,61.4036,80.96,14,0,9.98,clear sky
161,Aklera,IN,24.4167,76.5667,78.42,78,98,5.32,overcast clouds
162,New Castle,US,41.0037,-80.347,88.43,52,20,3.44,few clouds
163,Pozo Colorado,PY,-23.4923,-58.7972,75.87,46,100,16.67,overcast clouds
164,Ahipara,NZ,-35.1667,173.1667,49.3,89,6,5.99,clear sky
165,Tubuala,PA,9.5167,-79.0333,83.73,74,100,7.07,overcast clouds
166,Faanui,PF,-16.4833,-151.75,77.0,75,11,9.86,few clouds
167,Ribeira Grande,PT,38.5167,-28.7,77.4,69,75,10.36,broken clouds
168,Nabire,ID,-3.3667,135.4833,74.98,92,100,3.76,overcast clouds
169,La Asuncion,VE,11.0333,-63.8628,84.99,67,15,11.07,few clouds
170,Zharkent,KZ,44.1628,80.0,69.24,27,1,3.15,clear sky
171,Ilo,PE,-17.6394,-71.3375,63.9,70,100,8.88,overcast clouds
172,Kampong Thum,KH,12.7111,104.8887,76.5,92,100,10.87,overcast clouds
173,Nemuro,JP,43.3236,145.575,62.2,93,100,7.74,overcast clouds
174,Mayo,US,38.8876,-76.5119,90.23,74,0,8.05,clear sky
175,Ballina,AU,-28.8667,153.5667,56.01,99,39,2.33,scattered clouds
176,Meiktila,MM,20.8667,95.8667,79.25,81,56,6.8,broken clouds
177,Dikson,RU,73.5069,80.5464,39.54,95,100,14.76,light rain
178,Wildwood,US,38.5828,-90.6629,91.42,60,20,13.0,few clouds
179,Dingle,PH,10.9995,122.6711,76.53,91,37,2.66,scattered clouds
180,Nome,US,64.5011,-165.4064,44.67,77,0,0.0,clear sky
181,Carauari,BR,-4.8828,-66.8958,94.96,39,96,3.69,overcast clouds
182,Portland,US,45.5234,-122.6762,68.86,67,75,8.05,broken clouds
183,Bibiani,GH,6.4635,-2.3194,73.02,95,85,2.24,light rain
184,Georgetown,MY,5.4112,100.3354,78.89,96,40,5.01,moderate rain
185,Kruisfontein,ZA,-34.0033,24.7314,56.88,64,52,14.07,broken clouds
186,Kautokeino,NO,69.0125,23.0412,46.69,77,81,16.71,broken clouds
187,Tacuarembo,UY,-31.7333,-55.9833,51.21,51,6,14.0,clear sky
188,Upernavik,GL,72.7868,-56.1549,39.22,72,61,8.01,broken clouds
189,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,93,100,5.75,light intensity drizzle
190,Saint-Pierre,RE,-21.3393,55.4781,71.29,75,0,2.3,clear sky
191,Lebu,CL,-37.6167,-73.65,55.67,62,0,12.62,clear sky
192,Namibe,AO,-15.1961,12.1522,61.57,82,30,8.12,scattered clouds
193,Englehart,CA,47.8169,-79.8664,77.56,53,20,19.57,few clouds
194,Belyy,RU,55.8402,32.9419,69.48,52,99,4.85,overcast clouds
